timestamp clientname srvname delta delta_prec
1718447861.0 edon srv_addr -0.136034 0.18141
1718447871.0 edon srv_addr -0.163170 0.13774
1718447882.0 edon srv_addr -0.159472 0.15617
1718447892.0 edon srv_addr -0.164183 0.15517
1718447902.0 edon srv_addr -0.170667 0.15778
1718447912.0 edon srv_addr -0.172305 0.15710
1718447923.0 edon srv_addr -0.177955 0.15883
1718447933.0 edon srv_addr -0.185928 0.15733
1718447943.0 edon srv_addr -0.195595 0.05365
1718447953.0 edon srv_addr -0.196031 0.15759
1718447963.0 edon srv_addr -0.207679 0.05479
1718447974.0 edon srv_addr -0.212658 0.05312
1718447984.0 edon srv_addr -0.218665 0.05507
1718447994.0 edon srv_addr -0.223036 0.05469
1718448004.0 edon srv_addr -0.228880 0.05559
1718448014.0 edon srv_addr -0.234177 0.05527
1718448024.0 edon srv_addr -0.239117 0.05455
1718448035.0 edon srv_addr -0.236815 0.15764
1718448045.0 edon srv_addr -0.243423 0.15730
1718448055.0 edon srv_addr -0.246196 0.15700
1718448065.0 edon srv_addr -0.260606 0.05495
1718448075.0 edon srv_addr -0.258615 0.15741
1718448086.0 edon srv_addr -0.261996 0.15712
1718448096.0 edon srv_addr -0.269284 0.15709
1718448106.0 edon srv_addr -0.274107 0.15736
1718448116.0 edon srv_addr -0.277390 0.15721
1718448127.0 edon srv_addr -0.284930 0.15768
1718448137.0 edon srv_addr -0.288141 0.15739
1718448147.0 edon srv_addr -0.295485 0.15738
1718448157.0 edon srv_addr -0.298788 0.15663
1718448168.0 edon srv_addr -0.314361 0.05635
1718448178.0 edon srv_addr -0.311649 0.15723
1718448188.0 edon srv_addr -0.314303 0.15744
1718448198.0 edon srv_addr -0.322104 0.15657
1718448208.0 edon srv_addr -0.325103 0.15726
1718448219.0 edon srv_addr -0.332377 0.15721
1718448229.0 edon srv_addr -0.335083 0.15730
1718448239.0 edon srv_addr -0.341175 0.15761
1718448249.0 edon srv_addr -0.334033 0.16490
1718448260.0 edon srv_addr -0.355444 0.14850
1718448270.0 edon srv_addr -0.359025 0.15692
1718448280.0 edon srv_addr -0.330560 0.09897
1718448290.0 edon srv_addr -0.388978 0.11330
1718448301.0 edon srv_addr -0.372658 0.15753
1718448311.0 edon srv_addr -0.378769 0.15683
1718448321.0 edon srv_addr -0.384761 0.15747
1718448331.0 edon srv_addr -0.387685 0.15955
1718448342.0 edon srv_addr -0.396040 0.15596
1718448352.0 edon srv_addr -0.400116 0.15739
1718448362.0 edon srv_addr -0.411825 0.05473
1718448372.0 edon srv_addr -0.409668 0.15681
1718448382.0 edon srv_addr -0.389636 0.10252
1718448393.0 edon srv_addr -0.443672 0.10966
1718448403.0 edon srv_addr -0.426417 0.15732
1718448413.0 edon srv_addr -0.431416 0.15738
1718448423.0 edon srv_addr -0.435359 0.15773
1718448434.0 edon srv_addr -0.441820 0.15733
1718448444.0 edon srv_addr -0.447221 0.15724
1718448454.0 edon srv_addr -0.452330 0.15738
1718448464.0 edon srv_addr -0.429132 0.09865
1718448474.0 edon srv_addr -0.488146 0.11105
1718448485.0 edon srv_addr -0.468859 0.15709
1718448495.0 edon srv_addr -0.474512 0.15669
1718448505.0 edon srv_addr -0.476450 0.15874
1718448515.0 edon srv_addr -0.484709 0.15747
1718448526.0 edon srv_addr -0.490706 0.15869
1718448536.0 edon srv_addr -0.467450 0.09816
1718448546.0 edon srv_addr -0.523277 0.11214
1718448556.0 edon srv_addr -0.503729 0.15707
1718448567.0 edon srv_addr -0.509330 0.15736
1718448577.0 edon srv_addr -0.516386 0.15742
1718448587.0 edon srv_addr -0.521346 0.15724
1718448597.0 edon srv_addr -0.527028 0.15750
1718448607.0 edon srv_addr -0.541688 0.05460
1718448618.0 edon srv_addr -0.537466 0.15732
1718448628.0 edon srv_addr -0.542637 0.15739
1718448638.0 edon srv_addr -0.545958 0.15782
1718448648.0 edon srv_addr -0.551364 0.15733
1718448659.0 edon srv_addr -0.560015 0.15494
1718448669.0 edon srv_addr -0.563931 0.15718
1718448679.0 edon srv_addr -0.566553 0.15833
1718448689.0 edon srv_addr -0.581957 0.05354
1718448700.0 edon srv_addr -0.579429 0.15724
1718448710.0 edon srv_addr -0.584889 0.15720
1718448720.0 edon srv_addr -0.590551 0.15788
1718448730.0 edon srv_addr -0.571589 0.10866
1718448741.0 edon srv_addr -0.576500 0.20551
1718448751.0 edon srv_addr -0.606243 0.15680
1718448761.0 edon srv_addr -0.610829 0.15752
1718448771.0 edon srv_addr -0.614784 0.15732
1718448782.0 edon srv_addr -0.621243 0.15685
1718448792.0 edon srv_addr -0.627111 0.15659
1718448802.0 edon srv_addr -0.598315 0.09122
1718448812.0 edon srv_addr -0.653974 0.12297
1718448822.0 edon srv_addr -0.639691 0.15642
1718448833.0 edon srv_addr -0.643870 0.15768
1718448843.0 edon srv_addr -0.653477 0.15541
1718448853.0 edon srv_addr -0.658267 0.15871
1718448863.0 edon srv_addr -0.640146 0.10802
1718448874.0 edon srv_addr -0.646069 0.20192
1718448884.0 edon srv_addr -0.674269 0.15739
1718448894.0 edon srv_addr -0.679323 0.15683
1718448904.0 edon srv_addr -0.671869 0.13103
1718448915.0 edon srv_addr -0.675998 0.18207
1718448925.0 edon srv_addr -0.694003 0.15814
1718448935.0 edon srv_addr -0.699939 0.15630
1718448945.0 edon srv_addr -0.704856 0.15729
1718448956.0 edon srv_addr -0.697149 0.13083
1718448966.0 edon srv_addr -0.702029 0.18198
1718448976.0 edon srv_addr -0.722740 0.15573
1718448986.0 edon srv_addr -0.724387 0.15581
1718448996.0 edon srv_addr -0.740725 0.05598
1718449007.0 edon srv_addr -0.745826 0.05348
1718449017.0 edon srv_addr -0.752435 0.05634
1718449027.0 edon srv_addr -0.757989 0.05505
