timestamp clientname srvname delta delta_prec
1718447801.500044 medion ts2.univie.ac.at +0.001296 0.005769
1718447811.634012 medion ts2.univie.ac.at +0.000719 0.006037
1718447821.762111 medion ts2.univie.ac.at +0.001055 0.005681
1718447831.88404 medion ts2.univie.ac.at -0.000002 0.006100
1718447842.12465 medion ts2.univie.ac.at +0.000368 0.006602
1718447852.139941 medion ts2.univie.ac.at +0.004539 0.010011
1718447862.264347 medion ts2.univie.ac.at +0.001820 0.007548
1718447872.421142 medion ts2.univie.ac.at +0.001304 0.006140
1718447882.535479 medion ts2.univie.ac.at -0.000318 0.005453
1718447892.679218 medion ts2.univie.ac.at +0.001452 0.006451
1718447902.846972 medion ts2.univie.ac.at +0.004789 0.010600
1718447912.957656 medion ts2.univie.ac.at +0.000648 0.005354
1718447923.94619 medion ts2.univie.ac.at +0.004063 0.010033
1718447933.267346 medion ts2.univie.ac.at +0.000434 0.005317
1718447943.433615 medion ts2.univie.ac.at -0.000932 0.007648
1718447953.575731 medion ts2.univie.ac.at -0.001043 0.005276
1718447963.695251 medion ts2.univie.ac.at +0.001331 0.007677
1718447973.805592 medion ts2.univie.ac.at -0.001337 0.005366
1718447983.921566 medion ts2.univie.ac.at -0.001137 0.005674
1718447994.4908 medion ts2.univie.ac.at -0.000118 0.006456
1718448004.184681 medion ts2.univie.ac.at +0.001599 0.007522
1718448014.297328 medion ts2.univie.ac.at +0.001331 0.009598
1718448024.455951 medion ts2.univie.ac.at +0.000986 0.007082
1718448034.557795 medion ts2.univie.ac.at +0.000068 0.005312
1718448044.667889 medion ts2.univie.ac.at +0.001399 0.007550
1718448054.771052 medion ts2.univie.ac.at +0.001176 0.006540
1718448064.885701 medion ts2.univie.ac.at +0.001918 0.007653
1718448075.3417 medion ts2.univie.ac.at +0.002350 0.008624
1718448085.179953 medion ts2.univie.ac.at +0.002970 0.008325
1718448095.302245 medion ts2.univie.ac.at +0.002805 0.008941
1718448105.436059 medion ts2.univie.ac.at +0.005205 0.011021
1718448115.568075 medion ts2.univie.ac.at +0.002080 0.007562
1718448125.719945 medion ts2.univie.ac.at +0.000572 0.007047
1718448135.853401 medion ts2.univie.ac.at +0.002409 0.008446
1718448145.955518 medion ts2.univie.ac.at -0.000846 0.005293
1718448156.56264 medion ts2.univie.ac.at +0.001489 0.006809
1718448166.162086 medion ts2.univie.ac.at +0.000737 0.006638
1718448176.276884 medion ts2.univie.ac.at -0.000105 0.005891
1718448186.404909 medion ts2.univie.ac.at +0.001032 0.006668
1718448196.517877 medion ts2.univie.ac.at -0.001284 0.007027
1718448206.650012 medion ts2.univie.ac.at -0.001920 0.006925
1718448216.791416 medion ts2.univie.ac.at +0.006590 0.012034
1718448226.920434 medion ts2.univie.ac.at +0.001363 0.006598
1718448237.29202 medion ts2.univie.ac.at +0.001000 0.006055
1718448247.14843 medion ts2.univie.ac.at +0.010187 0.016289
1718448257.251534 medion ts2.univie.ac.at +0.001196 0.006130
1718448267.35987 medion ts2.univie.ac.at +0.001799 0.007019
1718448277.472654 medion ts2.univie.ac.at +0.000662 0.006436
1718448287.594668 medion ts2.univie.ac.at +0.000643 0.006345
1718448297.712286 medion ts2.univie.ac.at -0.000246 0.005033
1718448307.828437 medion ts2.univie.ac.at -0.000181 0.006173
1718448317.983863 medion ts2.univie.ac.at +0.000579 0.005943
