timestamp clientname srvname delta delta_prec
1718447804.68117 RaspberryPi 10.42.0.1 -0.254085 0.001001
1718447816.548825 RaspberryPi 10.42.0.1 -0.254357 0.001048
1718447828.414463 RaspberryPi 10.42.0.1 -0.254628 0.001118
1718447840.270678 RaspberryPi 10.42.0.1 -0.255060 0.001159
1718447852.122202 RaspberryPi 10.42.0.1 -0.255512 0.001090
1718447863.979743 RaspberryPi 10.42.0.1 -0.256476 0.001017
1718447875.837693 RaspberryPi 10.42.0.1 -0.257253 0.001026
1718447887.68961 RaspberryPi 10.42.0.1 -0.257972 0.001133
1718447899.547055 RaspberryPi 10.42.0.1 -0.258681 0.001119
1718447911.405851 RaspberryPi 10.42.0.1 -0.259294 0.001049
1718447923.264576 RaspberryPi 10.42.0.1 -0.259888 0.001142
1718447935.12676 RaspberryPi 10.42.0.1 -0.260195 0.001007
1718447946.985545 RaspberryPi 10.42.0.1 -0.260705 0.001095
1718447958.846365 RaspberryPi 10.42.0.1 -0.260947 0.001142
1718447970.706075 RaspberryPi 10.42.0.1 -0.261425 0.001172
1718447982.565893 RaspberryPi 10.42.0.1 -0.262007 0.001141
1718447994.42469 RaspberryPi 10.42.0.1 -0.262919 0.001106
1718448006.283495 RaspberryPi 10.42.0.1 -0.263762 0.001053
1718448018.141162 RaspberryPi 10.42.0.1 -0.264369 0.001128
1718448029.999755 RaspberryPi 10.42.0.1 -0.264951 0.001159
1718448041.859888 RaspberryPi 10.42.0.1 -0.265659 0.001011
1718448053.718896 RaspberryPi 10.42.0.1 -0.266356 0.001010
1718448065.579867 RaspberryPi 10.42.0.1 -0.266946 0.001041
1718448077.440515 RaspberryPi 10.42.0.1 -0.267701 0.001075
1718448089.307764 RaspberryPi 10.42.0.1 -0.268273 0.001024
1718448101.17549 RaspberryPi 10.42.0.1 -0.268627 0.001233
1718448113.4 RaspberryPi 10.42.0.1 -0.269432 0.001019
1718448124.898094 RaspberryPi 10.42.0.1 -0.270049 0.001144
1718448136.754561 RaspberryPi 10.42.0.1 -0.270759 0.001050
1718448148.605763 RaspberryPi 10.42.0.1 -0.271382 0.001043
1718448160.462195 RaspberryPi 10.42.0.1 -0.272090 0.001045
1718448172.323423 RaspberryPi 10.42.0.1 -0.272805 0.001019
1718448184.179282 RaspberryPi 10.42.0.1 -0.273376 0.001138
1718448196.41799 RaspberryPi 10.42.0.1 -0.274087 0.001092
1718448207.900486 RaspberryPi 10.42.0.1 -0.274768 0.001012
1718448219.759107 RaspberryPi 10.42.0.1 -0.275326 0.001195
1718448231.61489 RaspberryPi 10.42.0.1 -0.276192 0.001074
1718448243.464539 RaspberryPi 10.42.0.1 -0.276689 0.001135
1718448255.325059 RaspberryPi 10.42.0.1 -0.277441 0.001110
1718448267.194996 RaspberryPi 10.42.0.1 -0.278158 0.001152
1718448279.65267 RaspberryPi 10.42.0.1 -0.278596 0.001193
1718448290.926294 RaspberryPi 10.42.0.1 -0.279314 0.001119
1718448302.791457 RaspberryPi 10.42.0.1 -0.279989 0.001021
1718448314.63983 RaspberryPi 10.42.0.1 -0.280633 0.001111
1718448326.491838 RaspberryPi 10.42.0.1 -0.281456 0.001148
1718448338.346136 RaspberryPi 10.42.0.1 -0.281868 0.001171
1718448350.201418 RaspberryPi 10.42.0.1 -0.282549 0.001178
1718448362.75668 RaspberryPi 10.42.0.1 -0.283211 0.001116
1718448373.941804 RaspberryPi 10.42.0.1 -0.284056 0.001065
1718448385.804431 RaspberryPi 10.42.0.1 -0.284531 0.001013
1718448397.659924 RaspberryPi 10.42.0.1 -0.285151 0.001117
1718448409.53132 RaspberryPi 10.42.0.1 -0.285860 0.001012
1718448421.408869 RaspberryPi 10.42.0.1 -0.286503 0.001021
1718448433.274918 RaspberryPi 10.42.0.1 -0.287237 0.001073
1718448445.132669 RaspberryPi 10.42.0.1 -0.287888 0.001091
1718448456.978349 RaspberryPi 10.42.0.1 -0.288385 0.001119
1718448468.834436 RaspberryPi 10.42.0.1 -0.289072 0.001078
1718448480.697794 RaspberryPi 10.42.0.1 -0.289708 0.001044
1718448492.552632 RaspberryPi 10.42.0.1 -0.290401 0.001144
1718448504.406012 RaspberryPi 10.42.0.1 -0.290953 0.001106
1718448516.26987 RaspberryPi 10.42.0.1 -0.291693 0.001018
1718448528.145882 RaspberryPi 10.42.0.1 -0.292202 0.001181
1718448539.993652 RaspberryPi 10.42.0.1 -0.292840 0.001166
1718448551.847911 RaspberryPi 10.42.0.1 -0.293680 0.001083
1718448563.71451 RaspberryPi 10.42.0.1 -0.294224 0.001007
1718448575.568804 RaspberryPi 10.42.0.1 -0.294742 0.001174
1718448587.420559 RaspberryPi 10.42.0.1 -0.295472 0.001000
1718448599.279222 RaspberryPi 10.42.0.1 -0.296198 0.001017
1718448611.130443 RaspberryPi 10.42.0.1 -0.296782 0.001043
1718448622.993375 RaspberryPi 10.42.0.1 -0.297465 0.001041
1718448634.853539 RaspberryPi 10.42.0.1 -0.297930 0.001169
1718448646.716751 RaspberryPi 10.42.0.1 -0.298590 0.001046
1718448658.573195 RaspberryPi 10.42.0.1 -0.299557 0.001191
1718448670.439564 RaspberryPi 10.42.0.1 -0.299904 0.001134
1718448682.293171 RaspberryPi 10.42.0.1 -0.300545 0.001172
1718448694.156263 RaspberryPi 10.42.0.1 -0.301267 0.001060
1718448706.3054 RaspberryPi 10.42.0.1 -0.301598 0.001067
1718448717.866703 RaspberryPi 10.42.0.1 -0.302323 0.001011
1718448729.734608 RaspberryPi 10.42.0.1 -0.302994 0.001027
1718448741.593339 RaspberryPi 10.42.0.1 -0.303451 0.001168
1718448753.442713 RaspberryPi 10.42.0.1 -0.304310 0.001075
1718448765.323603 RaspberryPi 10.42.0.1 -0.304857 0.001037
1718448777.178263 RaspberryPi 10.42.0.1 -0.305246 0.001202
1718448789.36326 RaspberryPi 10.42.0.1 -0.306085 0.001073
1718448800.894305 RaspberryPi 10.42.0.1 -0.306669 0.001122
1718448812.749812 RaspberryPi 10.42.0.1 -0.307148 0.001080
1718448824.599024 RaspberryPi 10.42.0.1 -0.307937 0.001072
1718448836.469205 RaspberryPi 10.42.0.1 -0.308403 0.001077
1718448848.335118 RaspberryPi 10.42.0.1 -0.309166 0.001083
1718448860.194674 RaspberryPi 10.42.0.1 -0.309670 0.001072
1718448872.47796 RaspberryPi 10.42.0.1 -0.310213 0.001105
1718448883.902302 RaspberryPi 10.42.0.1 -0.310988 0.001112
1718448895.754853 RaspberryPi 10.42.0.1 -0.311512 0.001085
1718448907.616015 RaspberryPi 10.42.0.1 -0.312153 0.001012
1718448919.467704 RaspberryPi 10.42.0.1 -0.312764 0.001029
1718448931.332554 RaspberryPi 10.42.0.1 -0.313353 0.001080
1718448943.198841 RaspberryPi 10.42.0.1 -0.313928 0.001126
1718448955.6745 RaspberryPi 10.42.0.1 -0.314657 0.001154
1718448966.919907 RaspberryPi 10.42.0.1 -0.315163 0.001122
1718448978.770435 RaspberryPi 10.42.0.1 -0.315770 0.001115
1718448990.621177 RaspberryPi 10.42.0.1 -0.316455 0.001168
1718449002.469701 RaspberryPi 10.42.0.1 -0.317080 0.001162
