timestamp clientname srvname delta delta_prec
1718467760.916331 RaspberryPi 10.42.0.1 +2172.133260 0.002998
1718467772.795894 RaspberryPi 10.42.0.1 +2172.134403 0.001277
1718467784.67042 RaspberryPi 10.42.0.1 +2172.133662 0.001098
1718467796.530232 RaspberryPi 10.42.0.1 +2172.133026 0.001089
1718467808.407484 RaspberryPi 10.42.0.1 +2172.132557 0.001114
1718467820.270692 RaspberryPi 10.42.0.1 +2172.131841 0.001039
1718467832.13332 RaspberryPi 10.42.0.1 +2172.131295 0.001021
1718467844.2444 RaspberryPi 10.42.0.1 +2172.130800 0.001039
1718467855.849744 RaspberryPi 10.42.0.1 +2172.130213 0.001131
1718467867.727147 RaspberryPi 10.42.0.1 +2172.129597 0.001149
1718467879.580855 RaspberryPi 10.42.0.1 +2172.129021 0.001022
1718467891.436508 RaspberryPi 10.42.0.1 +2172.128402 0.001017
1718467903.303519 RaspberryPi 10.42.0.1 +2172.127786 0.001022
1718467915.173013 RaspberryPi 10.42.0.1 +2172.127259 0.001171
1718467927.20406 RaspberryPi 10.42.0.1 +2172.126679 0.001154
1718467938.871354 RaspberryPi 10.42.0.1 +2172.126130 0.001118
1718467950.735209 RaspberryPi 10.42.0.1 +2172.125414 0.001123
1718467962.590452 RaspberryPi 10.42.0.1 +2172.124991 0.001135
1718467974.457224 RaspberryPi 10.42.0.1 +2172.124362 0.001089
1718467986.297843 RaspberryPi 10.42.0.1 +2172.123696 0.001103
1718467998.157898 RaspberryPi 10.42.0.1 +2172.123095 0.001034
1718468010.17831 RaspberryPi 10.42.0.1 +2172.122632 0.001035
1718468021.875046 RaspberryPi 10.42.0.1 +2172.122082 0.001143
1718468033.724872 RaspberryPi 10.42.0.1 +2172.121430 0.001100
1718468045.584834 RaspberryPi 10.42.0.1 +2172.120949 0.001177
1718468057.444939 RaspberryPi 10.42.0.1 +2172.120242 0.001016
1718468970.382267 RaspberryPi 10.42.0.1 +2171.736830 0.001131
1718468982.237829 RaspberryPi 10.42.0.1 +2171.733911 0.001175
1718468994.96096 RaspberryPi 10.42.0.1 +2171.733283 0.001017
1718469005.958669 RaspberryPi 10.42.0.1 +2171.732865 0.001043
1718469017.813172 RaspberryPi 10.42.0.1 +2171.732325 0.001084
1718469029.676336 RaspberryPi 10.42.0.1 +2171.731788 0.001041
1718469041.533973 RaspberryPi 10.42.0.1 +2171.731299 0.001092
1718469053.401456 RaspberryPi 10.42.0.1 +2171.730804 0.001171
1718471993.165316 RaspberryPi 10.42.0.1 +2171.602245 0.001034
1718472005.23659 RaspberryPi 10.42.0.1 +2171.601819 0.001082
1718472016.885738 RaspberryPi 10.42.0.1 +2171.601115 0.001075
1718472028.741024 RaspberryPi 10.42.0.1 +2171.600756 0.001167
1718472040.593767 RaspberryPi 10.42.0.1 +2171.600171 0.001048
1718472052.441321 RaspberryPi 10.42.0.1 +2171.599676 0.001057
1718472064.293254 RaspberryPi 10.42.0.1 +2171.599297 0.001088
1718472076.141937 RaspberryPi 10.42.0.1 +2171.599133 0.001052
1718472087.988957 RaspberryPi 10.42.0.1 +2171.598955 0.001277
1718472099.854376 RaspberryPi 10.42.0.1 +2171.598568 0.001067
1718472111.701997 RaspberryPi 10.42.0.1 +2171.598233 0.001059
1718472123.558059 RaspberryPi 10.42.0.1 +2171.597796 0.001139
1718472135.419956 RaspberryPi 10.42.0.1 +2171.597100 0.001071
1718472147.275645 RaspberryPi 10.42.0.1 +2171.596144 0.001115
1718472159.135612 RaspberryPi 10.42.0.1 +2171.595295 0.001213
1718472170.994129 RaspberryPi 10.42.0.1 +2171.594914 0.001190
1718472182.847983 RaspberryPi 10.42.0.1 +2171.594305 0.001085
1718472194.707003 RaspberryPi 10.42.0.1 +2171.593813 0.001140
1718472206.56948 RaspberryPi 10.42.0.1 +2171.593287 0.001029
1718472218.427601 RaspberryPi 10.42.0.1 +2171.592874 0.001144
1718472230.277286 RaspberryPi 10.42.0.1 +2171.592376 0.001182
1718472242.140654 RaspberryPi 10.42.0.1 +2171.591896 0.001192
1718472253.995859 RaspberryPi 10.42.0.1 +2171.591443 0.001185
1718472265.867269 RaspberryPi 10.42.0.1 +2171.591033 0.001134
1718472277.715781 RaspberryPi 10.42.0.1 +2171.590542 0.001152
1718472289.587014 RaspberryPi 10.42.0.1 +2171.590082 0.001166
1718472301.444864 RaspberryPi 10.42.0.1 +2171.589606 0.001046
1718472313.309743 RaspberryPi 10.42.0.1 +2171.589139 0.001179
1718472325.160401 RaspberryPi 10.42.0.1 +2171.588877 0.001285
1718472337.43254 RaspberryPi 10.42.0.1 +2171.588298 0.001188
1718472348.891671 RaspberryPi 10.42.0.1 +2171.587712 0.001025
1718472360.748576 RaspberryPi 10.42.0.1 +2171.587439 0.001241
1718472372.608485 RaspberryPi 10.42.0.1 +2171.586865 0.001067
1718472384.465156 RaspberryPi 10.42.0.1 +2171.586432 0.001187
1718472396.330295 RaspberryPi 10.42.0.1 +2171.585914 0.001035
1718472408.212559 RaspberryPi 10.42.0.1 +2171.585481 0.001035
1718472420.76051 RaspberryPi 10.42.0.1 +2171.585106 0.001140
1718472431.928519 RaspberryPi 10.42.0.1 +2171.584547 0.001032
1718472443.784145 RaspberryPi 10.42.0.1 +2171.583854 0.001156
1718472455.63645 RaspberryPi 10.42.0.1 +2171.583616 0.001159
1718472467.492389 RaspberryPi 10.42.0.1 +2171.583007 0.001125
1718472479.35576 RaspberryPi 10.42.0.1 +2171.582672 0.001083
1718472491.207452 RaspberryPi 10.42.0.1 +2171.582261 0.001129
1718472503.56691 RaspberryPi 10.42.0.1 +2171.581806 0.001141
1718472514.910938 RaspberryPi 10.42.0.1 +2171.581247 0.001074
1718472526.772785 RaspberryPi 10.42.0.1 +2171.580888 0.001059
1718472538.641603 RaspberryPi 10.42.0.1 +2171.580465 0.001273
1718472550.497864 RaspberryPi 10.42.0.1 +2171.579904 0.001038
1718472562.36977 RaspberryPi 10.42.0.1 +2171.579462 0.001152
1718472574.233817 RaspberryPi 10.42.0.1 +2171.578952 0.001088
1718472586.91112 RaspberryPi 10.42.0.1 +2171.578505 0.001038
1718472597.951061 RaspberryPi 10.42.0.1 +2171.578069 0.001035
1718472609.814555 RaspberryPi 10.42.0.1 +2171.577512 0.001121
1718472621.671413 RaspberryPi 10.42.0.1 +2171.576895 0.001133
1718472633.53755 RaspberryPi 10.42.0.1 +2171.576367 0.001104
1718472645.404101 RaspberryPi 10.42.0.1 +2171.575756 0.001187
1718472657.260701 RaspberryPi 10.42.0.1 +2171.574995 0.001075
1718472669.136475 RaspberryPi 10.42.0.1 +2171.574562 0.001160
