timestamp clientname srvname delta delta_prec
1718473055.762308 raspi 10.42.0.1 +2171.397979 0.001571
1718473067.631393 raspi 10.42.0.1 +2171.397503 0.001612
1718473079.503092 raspi 10.42.0.1 +2171.397015 0.001619
1718473091.35776 raspi 10.42.0.1 +2171.396508 0.001625
1718473103.219789 raspi 10.42.0.1 +2171.395927 0.001600
1718473115.80359 raspi 10.42.0.1 +2171.395436 0.001582
1718473126.933113 raspi 10.42.0.1 +2171.394437 0.001024
1718473138.809073 raspi 10.42.0.1 +2171.394072 0.001190
1718473150.664309 raspi 10.42.0.1 +2171.393940 0.001577
1718473162.519783 raspi 10.42.0.1 +2171.393429 0.001577
1718473174.366754 raspi 10.42.0.1 +2171.392481 0.001130
1718473186.234498 raspi 10.42.0.1 +2171.392555 0.001719
1718473198.96969 raspi 10.42.0.1 +2171.391922 0.001547
1718473209.963826 raspi 10.42.0.1 +2171.391405 0.001566
1718473221.822366 raspi 10.42.0.1 +2171.390910 0.001664
1718473233.676337 raspi 10.42.0.1 +2171.390352 0.001575
1718473245.534734 raspi 10.42.0.1 +2171.389870 0.001564
1718473257.399141 raspi 10.42.0.1 +2171.389330 0.001581
1718473269.270609 raspi 10.42.0.1 +2171.388944 0.001680
1718473281.136891 raspi 10.42.0.1 +2171.387814 0.001031
1718473293.2217 raspi 10.42.0.1 +2171.387289 0.001016
1718473304.867623 raspi 10.42.0.1 +2171.387278 0.001608
1718473316.717791 raspi 10.42.0.1 +2171.386848 0.001616
1718473328.56907 raspi 10.42.0.1 +2171.386302 0.001572
1718473340.42168 raspi 10.42.0.1 +2171.385787 0.001575
1718473352.291245 raspi 10.42.0.1 +2171.385287 0.001579
1718473364.154687 raspi 10.42.0.1 +2171.384382 0.001178
1718473376.7465 raspi 10.42.0.1 +2171.383703 0.001026
1718473387.873877 raspi 10.42.0.1 +2171.383750 0.001590
1718473399.746735 raspi 10.42.0.1 +2171.383250 0.001565
1718473411.612518 raspi 10.42.0.1 +2171.382528 0.001370
1718473423.468549 raspi 10.42.0.1 +2171.382249 0.001573
